time,ssp126_frost_days_p10,ssp126_frost_days_p50,ssp126_frost_days_p90,ssp245_frost_days_p10,ssp245_frost_days_p50,ssp245_frost_days_p90,ssp585_frost_days_p10,ssp585_frost_days_p50,ssp585_frost_days_p90,ssp126_frost_days_delta_1971_2000_p10,ssp126_frost_days_delta_1971_2000_p50,ssp126_frost_days_delta_1971_2000_p90,ssp245_frost_days_delta_1971_2000_p10,ssp245_frost_days_delta_1971_2000_p50,ssp245_frost_days_delta_1971_2000_p90,ssp585_frost_days_delta_1971_2000_p10,ssp585_frost_days_delta_1971_2000_p50,ssp585_frost_days_delta_1971_2000_p90
1951-01-01,153,156,158,153,156,158,153,156,158,-1,2,7,-1,2,7,-1,2,7
1961-01-01,153,156,158,153,156,158,153,156,158,0,2,6,1,2,6,1,2,5
1971-01-01,150,153,155,150,153,155,150,153,155,0,0,0,0,0,0,0,0,0
1981-01-01,146,149,150,146,149,150,146,149,150,-8,-4,-3,-8,-4,-3,-8,-4,-3
1991-01-01,138,144,146,138,143,146,137,144,147,-15,-9,-6,-16,-10,-7,-16,-10,-6
2001-01-01,130,137,142,127,137,141,128,137,141,-23,-16,-12,-23,-17,-11,-24,-16,-11
2011-01-01,122,131,139,121,131,136,116,131,138,-29,-21,-15,-33,-22,-15,-35,-23,-15
2021-01-01,115,127,134,115,125,133,107,122,130,-39,-26,-20,-38,-28,-21,-46,-31,-22
2031-01-01,110,124,133,109,119,129,99,115,124,-44,-30,-20,-44,-31,-24,-54,-37,-28
2041-01-01,106,121,131,100,116,126,88,107,117,-46,-34,-23,-52,-37,-28,-65,-45,-37
2051-01-01,104,121,130,94,112,125,77,100,111,-47,-33,-23,-59,-40,-30,-76,-54,-44
2061-01-01,102,121,129,88,108,121,63,92,103,-48,-34,-24,-65,-46,-33,-90,-60,-51
2071-01-01,99,121,130,82,105,120,51,84,95,-51,-33,-23,-71,-47,-34,-102,-68,-59
