time,ssp126_r1mm_p10,ssp126_r1mm_p50,ssp126_r1mm_p90,ssp245_r1mm_p10,ssp245_r1mm_p50,ssp245_r1mm_p90,ssp585_r1mm_p10,ssp585_r1mm_p50,ssp585_r1mm_p90,ssp126_r1mm_delta_1971_2000_p10,ssp126_r1mm_delta_1971_2000_p50,ssp126_r1mm_delta_1971_2000_p90,ssp245_r1mm_delta_1971_2000_p10,ssp245_r1mm_delta_1971_2000_p50,ssp245_r1mm_delta_1971_2000_p90,ssp585_r1mm_delta_1971_2000_p10,ssp585_r1mm_delta_1971_2000_p50,ssp585_r1mm_delta_1971_2000_p90
1951-01-01,168,171,173,168,171,173,168,171,173,-3,-0,3,-3,-0,3,-2,0,3
1961-01-01,169,172,173,169,172,173,169,172,173,-2,0,3,-1,1,2,-1,1,2
1971-01-01,169,171,173,169,171,173,169,171,173,0,0,0,0,0,0,0,0,0
1981-01-01,169,171,173,169,171,173,169,171,173,-1,-0,2,-1,-0,1,-1,-0,2
1991-01-01,168,171,173,168,171,173,169,171,172,-2,-0,1,-2,-0,2,-2,0,2
2001-01-01,168,172,174,168,171,174,169,171,173,-2,-0,3,-2,0,2,-3,-0,3
2011-01-01,168,172,175,166,171,174,169,171,174,-3,-0,3,-4,0,2,-2,-1,3
2021-01-01,168,172,175,167,171,174,168,171,174,-3,1,4,-3,-1,3,-3,0,3
2031-01-01,168,172,175,167,171,174,167,171,174,-2,1,4,-3,0,3,-3,-1,3
2041-01-01,169,172,176,166,172,175,165,170,174,-2,1,4,-5,1,4,-5,-2,2
2051-01-01,169,172,177,166,172,175,163,170,175,-3,1,5,-5,1,4,-7,-2,3
2061-01-01,168,172,176,165,171,175,161,169,175,-2,-0,5,-4,0,5,-9,-1,3
2071-01-01,168,172,176,166,172,174,159,170,175,-2,1,6,-4,0,4,-10,-2,4
